"matchday","home_team","away_team"
1,"FLAMENGO","PALMEIRAS"
1,"CORINTHIANS","ATLÉTICO-GO"
1,"SÃO PAULO","FLUMINENSE"
1,"ATLÉTICO-MG","FORTALEZA"
1,"INTERNACIONAL","SPORT "
1,"CEARÁ","GRÊMIO"
1,"BAHIA","SANTOS"
1,"ATHLETICO-PR","AMÉRICA-MG"
1,"CHAPECOENSE","BRAGANTINO"
1,"CUIABÁ","JUVENTUDE"
2,"FLUMINENSE","CUIABÁ"
2,"PALMEIRAS","CHAPECOENSE"
2,"SANTOS","CEARÁ"
2,"AMÉRICA-MG","CORINTHIANS"
2,"GRÊMIO","FLAMENGO"
2,"FORTALEZA","INTERNACIONAL"
2,"SPORT","ATLÉTICO-MG"
2,"BRAGANTINO","BAHIA"
2,"JUVENTUDE","ATHLETICO-PR"
2,"ATLÉTICO-GO","SÃO PAULO"
3,"FLAMENGO","AMÉRICA-MG"
3,"PALMEIRAS","CORINTHIANS"
3,"SANTOS","JUVENTUDE"
3,"ATLÉTICO-MG","SÃO PAULO"
3,"GRÊMIO","ATHLETICO-PR"
3,"FORTALEZA","SPORT "
3,"BAHIA","INTERNACIONAL"
3,"BRAGANTINO","FLUMINENSE"
3,"CHAPECOENSE","CEARÁ"
3,"CUIABÁ","ATLÉTICO-GO"
4,"FLUMINENSE","SANTOS"
4,"CORINTHIANS","BRAGANTINO"
4,"SÃO PAULO","CHAPECOENSE"
4,"AMÉRICA-MG","CUIABÁ"
4,"INTERNACIONAL","ATLÉTICO-MG"
4,"CEARÁ","BAHIA"
4,"SPORT","GRÊMIO"
4,"ATHLETICO-PR","FLAMENGO"
4,"JUVENTUDE","PALMEIRAS"
4,"ATLÉTICO-GO","FORTALEZA"
5,"FLAMENGO","BRAGANTINO"
5,"PALMEIRAS","AMÉRICA-MG"
5,"SANTOS","SÃO PAULO"
5,"ATLÉTICO-MG","CHAPECOENSE"
5,"INTERNACIONAL","CEARÁ"
5,"FORTALEZA","FLUMINENSE"
5,"BAHIA","CORINTHIANS"
5,"ATHLETICO-PR","ATLÉTICO-GO"
5,"JUVENTUDE","SPORT "
5,"CUIABÁ","GRÊMIO"
6,"FLAMENGO","FORTALEZA"
6,"CORINTHIANS","SPORT "
6,"SÃO PAULO","CUIABÁ"
6,"AMÉRICA-MG","JUVENTUDE"
6,"GRÊMIO","SANTOS"
6,"CEARÁ","ATLÉTICO-MG"
6,"BAHIA","ATHLETICO-PR"
6,"BRAGANTINO","PALMEIRAS"
6,"CHAPECOENSE","INTERNACIONAL"
6,"ATLÉTICO-GO","FLUMINENSE"
7,"FLUMINENSE","CORINTHIANS"
7,"PALMEIRAS","BAHIA"
7,"SANTOS","ATLÉTICO-MG"
7,"AMÉRICA-MG","INTERNACIONAL"
7,"GRÊMIO","FORTALEZA"
7,"CEARÁ","SÃO PAULO"
7,"SPORT","CUIABÁ"
7,"ATHLETICO-PR","CHAPECOENSE"
7,"JUVENTUDE","FLAMENGO"
7,"ATLÉTICO-GO","BRAGANTINO"
8,"FLUMINENSE","ATHLETICO-PR"
8,"CORINTHIANS","SÃO PAULO"
8,"SANTOS","SPORT "
8,"ATLÉTICO-MG","ATLÉTICO-GO"
8,"INTERNACIONAL","PALMEIRAS"
8,"FORTALEZA","CHAPECOENSE"
8,"BAHIA","AMÉRICA-MG"
8,"BRAGANTINO","CEARÁ"
8,"JUVENTUDE","GRÊMIO"
8,"CUIABÁ","FLAMENGO"
9,"FLAMENGO","FLUMINENSE"
9,"CORINTHIANS","INTERNACIONAL"
9,"SÃO PAULO","BRAGANTINO"
9,"AMÉRICA-MG","SANTOS"
9,"GRÊMIO","ATLÉTICO-GO"
9,"CEARÁ","JUVENTUDE"
9,"SPORT","PALMEIRAS"
9,"ATHLETICO-PR","FORTALEZA"
9,"CHAPECOENSE","BAHIA"
9,"CUIABÁ","ATLÉTICO-MG"
10,"FLUMINENSE","CEARÁ"
10,"PALMEIRAS","GRÊMIO"
10,"SANTOS","ATHLETICO-PR"
10,"ATLÉTICO-MG","FLAMENGO"
10,"INTERNACIONAL","SÃO PAULO"
10,"FORTALEZA","AMÉRICA-MG"
10,"BAHIA","JUVENTUDE"
10,"BRAGANTINO","CUIABÁ"
10,"CHAPECOENSE","CORINTHIANS"
10,"ATLÉTICO-GO","SPORT "
11,"FLAMENGO","CHAPECOENSE"
11,"PALMEIRAS","SANTOS"
11,"SÃO PAULO","BAHIA"
11,"AMÉRICA-MG","ATLÉTICO-MG"
11,"GRÊMIO","INTERNACIONAL"
11,"FORTALEZA","CORINTHIANS"
11,"SPORT","FLUMINENSE"
11,"ATHLETICO-PR","BRAGANTINO"
11,"JUVENTUDE","ATLÉTICO-GO"
11,"CUIABÁ","CEARÁ"
12,"FLUMINENSE","GRÊMIO"
12,"CORINTHIANS","ATLÉTICO-MG"
12,"SÃO PAULO","FORTALEZA"
12,"AMÉRICA-MG","SPORT "
12,"INTERNACIONAL","JUVENTUDE"
12,"CEARÁ","ATHLETICO-PR"
12,"BAHIA","FLAMENGO"
12,"BRAGANTINO","SANTOS"
12,"CHAPECOENSE","CUIABÁ"
12,"ATLÉTICO-GO","PALMEIRAS"
13,"FLAMENGO","SÃO PAULO"
13,"PALMEIRAS","FLUMINENSE"
13,"SANTOS","ATLÉTICO-GO"
13,"ATLÉTICO-MG","BAHIA"
13,"GRÊMIO","AMÉRICA-MG"
13,"FORTALEZA","BRAGANTINO"
13,"SPORT","CEARÁ"
13,"ATHLETICO-PR","INTERNACIONAL"
13,"JUVENTUDE","CHAPECOENSE"
13,"CUIABÁ","CORINTHIANS"
14,"FLUMINENSE","JUVENTUDE"
14,"CORINTHIANS","FLAMENGO"
14,"SÃO PAULO","PALMEIRAS"
14,"ATLÉTICO-MG","ATHLETICO-PR"
14,"INTERNACIONAL","CUIABÁ"
14,"CEARÁ","FORTALEZA"
14,"BAHIA","SPORT "
14,"BRAGANTINO","GRÊMIO"
14,"CHAPECOENSE","SANTOS"
14,"ATLÉTICO-GO","AMÉRICA-MG"
15,"FLAMENGO","INTERNACIONAL"
15,"PALMEIRAS","FORTALEZA"
15,"SANTOS","CORINTHIANS"
15,"AMÉRICA-MG","FLUMINENSE"
15,"GRÊMIO","CHAPECOENSE"
15,"CEARÁ","ATLÉTICO-GO"
15,"SPORT","BRAGANTINO"
15,"ATHLETICO-PR","SÃO PAULO"
15,"JUVENTUDE","ATLÉTICO-MG"
15,"CUIABÁ","BAHIA"
16,"FLAMENGO","SPORT "
16,"CORINTHIANS","CEARÁ"
16,"SÃO PAULO","GRÊMIO"
16,"ATLÉTICO-MG","PALMEIRAS"
16,"INTERNACIONAL","FLUMINENSE"
16,"FORTALEZA","SANTOS"
16,"BAHIA","ATLÉTICO-GO"
16,"BRAGANTINO","JUVENTUDE"
16,"CHAPECOENSE","AMÉRICA-MG"
16,"CUIABÁ","ATHLETICO-PR"
17,"FLUMINENSE","ATLÉTICO-MG"
17,"PALMEIRAS","CUIABÁ"
17,"SANTOS","INTERNACIONAL"
17,"AMÉRICA-MG","BRAGANTINO"
17,"GRÊMIO","BAHIA"
17,"CEARÁ","FLAMENGO"
17,"SPORT","SÃO PAULO"
17,"ATHLETICO-PR","CORINTHIANS"
17,"JUVENTUDE","FORTALEZA"
17,"ATLÉTICO-GO","CHAPECOENSE"
18,"FLUMINENSE","BAHIA"
18,"PALMEIRAS","ATHLETICO-PR"
18,"SANTOS","FLAMENGO"
18,"AMÉRICA-MG","CEARÁ"
18,"GRÊMIO","CORINTHIANS"
18,"FORTALEZA","CUIABÁ"
18,"SPORT","CHAPECOENSE"
18,"BRAGANTINO","ATLÉTICO-MG"
18,"JUVENTUDE","SÃO PAULO"
18,"ATLÉTICO-GO","INTERNACIONAL"
19,"FLAMENGO","ATLÉTICO-GO"
19,"CORINTHIANS","JUVENTUDE"
19,"SÃO PAULO","AMÉRICA-MG"
19,"ATLÉTICO-MG","GRÊMIO"
19,"INTERNACIONAL","BRAGANTINO"
19,"CEARÁ","PALMEIRAS"
19,"BAHIA","FORTALEZA"
19,"ATHLETICO-PR","SPORT "
19,"CHAPECOENSE","FLUMINENSE"
19,"CUIABÁ","SANTOS"
20,"FLUMINENSE","SÃO PAULO"
20,"PALMEIRAS","FLAMENGO"
20,"SANTOS","BAHIA"
20,"AMÉRICA-MG","ATHLETICO-PR"
20,"GRÊMIO","CEARÁ"
20,"FORTALEZA","ATLÉTICO-MG"
20,"SPORT","INTERNACIONAL"
20,"BRAGANTINO","CHAPECOENSE"
20,"JUVENTUDE","CUIABÁ"
20,"ATLÉTICO-GO","CORINTHIANS"
21,"FLAMENGO","GRÊMIO"
21,"CORINTHIANS","AMÉRICA-MG"
21,"SÃO PAULO","ATLÉTICO-GO"
21,"ATLÉTICO-MG","SPORT "
21,"INTERNACIONAL","FORTALEZA"
21,"CEARÁ","SANTOS"
21,"BAHIA","BRAGANTINO"
21,"ATHLETICO-PR","JUVENTUDE"
21,"CHAPECOENSE","PALMEIRAS"
21,"CUIABÁ","FLUMINENSE"
22,"FLUMINENSE","BRAGANTINO"
22,"CORINTHIANS","PALMEIRAS"
22,"SÃO PAULO","ATLÉTICO-MG"
22,"AMÉRICA-MG","FLAMENGO"
22,"INTERNACIONAL","BAHIA"
22,"CEARÁ","CHAPECOENSE"
22,"SPORT","FORTALEZA"
22,"ATHLETICO-PR","GRÊMIO"
22,"JUVENTUDE","SANTOS"
22,"ATLÉTICO-GO","CUIABÁ"
23,"FLAMENGO","ATHLETICO-PR"
23,"PALMEIRAS","JUVENTUDE"
23,"SANTOS","FLUMINENSE"
23,"ATLÉTICO-MG","INTERNACIONAL"
23,"GRÊMIO","SPORT "
23,"FORTALEZA","ATLÉTICO-GO"
23,"BAHIA","CEARÁ"
23,"BRAGANTINO","CORINTHIANS"
23,"CHAPECOENSE","SÃO PAULO"
23,"CUIABÁ","AMÉRICA-MG"
24,"FLUMINENSE","FORTALEZA"
24,"CORINTHIANS","BAHIA"
24,"SÃO PAULO","SANTOS"
24,"AMÉRICA-MG","PALMEIRAS"
24,"GRÊMIO","CUIABÁ"
24,"CEARÁ","INTERNACIONAL"
24,"SPORT","JUVENTUDE"
24,"BRAGANTINO","FLAMENGO"
24,"CHAPECOENSE","ATLÉTICO-MG"
24,"ATLÉTICO-GO","ATHLETICO-PR"
25,"FLUMINENSE","ATLÉTICO-GO"
25,"PALMEIRAS","BRAGANTINO"
25,"SANTOS","GRÊMIO"
25,"ATLÉTICO-MG","CEARÁ"
25,"INTERNACIONAL","CHAPECOENSE"
25,"FORTALEZA","FLAMENGO"
25,"SPORT","CORINTHIANS"
25,"ATHLETICO-PR","BAHIA"
25,"JUVENTUDE","AMÉRICA-MG"
25,"CUIABÁ","SÃO PAULO"
26,"FLAMENGO","JUVENTUDE"
26,"CORINTHIANS","FLUMINENSE"
26,"SÃO PAULO","CEARÁ"
26,"ATLÉTICO-MG","SANTOS"
26,"INTERNACIONAL","AMÉRICA-MG"
26,"FORTALEZA","GRÊMIO"
26,"BAHIA","PALMEIRAS"
26,"BRAGANTINO","ATLÉTICO-GO"
26,"CHAPECOENSE","ATHLETICO-PR"
26,"CUIABÁ","SPORT "
27,"FLAMENGO","CUIABÁ"
27,"PALMEIRAS","INTERNACIONAL"
27,"SÃO PAULO","CORINTHIANS"
27,"AMÉRICA-MG","BAHIA"
27,"GRÊMIO","JUVENTUDE"
27,"CEARÁ","BRAGANTINO"
27,"SPORT","SANTOS"
27,"ATHLETICO-PR","FLUMINENSE"
27,"CHAPECOENSE","FORTALEZA"
27,"ATLÉTICO-GO","ATLÉTICO-MG"
28,"FLUMINENSE","FLAMENGO"
28,"PALMEIRAS","SPORT "
28,"SANTOS","AMÉRICA-MG"
28,"ATLÉTICO-MG","CUIABÁ"
28,"INTERNACIONAL","CORINTHIANS"
28,"FORTALEZA","ATHLETICO-PR"
28,"BAHIA","CHAPECOENSE"
28,"BRAGANTINO","SÃO PAULO"
28,"JUVENTUDE","CEARÁ"
28,"ATLÉTICO-GO","GRÊMIO"
29,"FLAMENGO","ATLÉTICO-MG"
29,"CORINTHIANS","CHAPECOENSE"
29,"SÃO PAULO","INTERNACIONAL"
29,"AMÉRICA-MG","FORTALEZA"
29,"GRÊMIO","PALMEIRAS"
29,"CEARÁ","FLUMINENSE"
29,"SPORT","ATLÉTICO-GO"
29,"ATHLETICO-PR","SANTOS"
29,"JUVENTUDE","BAHIA"
29,"CUIABÁ","BRAGANTINO"
30,"FLUMINENSE","SPORT "
30,"CORINTHIANS","FORTALEZA"
30,"SANTOS","PALMEIRAS"
30,"ATLÉTICO-MG","AMÉRICA-MG"
30,"INTERNACIONAL","GRÊMIO"
30,"CEARÁ","CUIABÁ"
30,"BAHIA","SÃO PAULO"
30,"BRAGANTINO","ATHLETICO-PR"
30,"CHAPECOENSE","FLAMENGO"
30,"ATLÉTICO-GO","JUVENTUDE"
31,"FLAMENGO","BAHIA"
31,"PALMEIRAS","ATLÉTICO-GO"
31,"SANTOS","BRAGANTINO"
31,"ATLÉTICO-MG","CORINTHIANS"
31,"GRÊMIO","FLUMINENSE"
31,"FORTALEZA","SÃO PAULO"
31,"SPORT","AMÉRICA-MG"
31,"ATHLETICO-PR","CEARÁ"
31,"JUVENTUDE","INTERNACIONAL"
31,"CUIABÁ","CHAPECOENSE"
32,"FLUMINENSE","PALMEIRAS"
32,"CORINTHIANS","CUIABÁ"
32,"SÃO PAULO","FLAMENGO"
32,"AMÉRICA-MG","GRÊMIO"
32,"INTERNACIONAL","ATHLETICO-PR"
32,"CEARÁ","SPORT "
32,"BAHIA","ATLÉTICO-MG"
32,"BRAGANTINO","FORTALEZA"
32,"CHAPECOENSE","JUVENTUDE"
32,"ATLÉTICO-GO","SANTOS"
33,"FLAMENGO","CORINTHIANS"
33,"PALMEIRAS","SÃO PAULO"
33,"SANTOS","CHAPECOENSE"
33,"AMÉRICA-MG","ATLÉTICO-GO"
33,"GRÊMIO","BRAGANTINO"
33,"FORTALEZA","CEARÁ"
33,"SPORT","BAHIA"
33,"ATHLETICO-PR","ATLÉTICO-MG"
33,"JUVENTUDE","FLUMINENSE"
33,"CUIABÁ","INTERNACIONAL"
34,"FLUMINENSE","AMÉRICA-MG"
34,"CORINTHIANS","SANTOS"
34,"SÃO PAULO","ATHLETICO-PR"
34,"ATLÉTICO-MG","JUVENTUDE"
34,"INTERNACIONAL","FLAMENGO"
34,"FORTALEZA","PALMEIRAS"
34,"BAHIA","CUIABÁ"
34,"BRAGANTINO","SPORT "
34,"CHAPECOENSE","GRÊMIO"
34,"ATLÉTICO-GO","CEARÁ"
35,"FLUMINENSE","INTERNACIONAL"
35,"PALMEIRAS","ATLÉTICO-MG"
35,"SANTOS","FORTALEZA"
35,"AMÉRICA-MG","CHAPECOENSE"
35,"GRÊMIO","SÃO PAULO"
35,"CEARÁ","CORINTHIANS"
35,"SPORT","FLAMENGO"
35,"ATHLETICO-PR","CUIABÁ"
35,"JUVENTUDE","BRAGANTINO"
35,"ATLÉTICO-GO","BAHIA"
36,"FLAMENGO","CEARÁ"
36,"CORINTHIANS","ATHLETICO-PR"
36,"SÃO PAULO","SPORT "
36,"ATLÉTICO-MG","FLUMINENSE"
36,"INTERNACIONAL","SANTOS"
36,"FORTALEZA","JUVENTUDE"
36,"BAHIA","GRÊMIO"
36,"BRAGANTINO","AMÉRICA-MG"
36,"CHAPECOENSE","ATLÉTICO-GO"
36,"CUIABÁ","PALMEIRAS"
37,"FLAMENGO","SANTOS"
37,"CORINTHIANS","GRÊMIO"
37,"SÃO PAULO","JUVENTUDE"
37,"ATLÉTICO-MG","BRAGANTINO"
37,"INTERNACIONAL","ATLÉTICO-GO"
37,"CEARÁ","AMÉRICA-MG"
37,"BAHIA","FLUMINENSE"
37,"ATHLETICO-PR","PALMEIRAS"
37,"CHAPECOENSE","SPORT "
37,"CUIABÁ","FORTALEZA"
38,"FLUMINENSE","CHAPECOENSE"
38,"PALMEIRAS","CEARÁ"
38,"SANTOS","CUIABÁ"
38,"AMÉRICA-MG","SÃO PAULO"
38,"GRÊMIO","ATLÉTICO-MG"
38,"FORTALEZA","BAHIA"
38,"SPORT","ATHLETICO-PR"
38,"BRAGANTINO","INTERNACIONAL"
38,"JUVENTUDE","CORINTHIANS"
38,"ATLÉTICO-GO","FLAMENGO"
